"id","age","indivcollect","rebel","indivchoice","belief_01","belief_02","conf_01","ar_01","apth_01","apth_02","agn_01","mean_01","rid_01","rp_01","rp_02","rp_03","snb_01","snb_02","snb_03","snb_04","snb_05","snb_06","snb_07","snb_08","snb_09","snb_10","snb_11","snb_12","snb_13","snb_14","snb_15","snb_16","snb_17","am_03","fsex","fissp_01","fissp_02","frid_02","fsnb_16","fsnb_17","fnation"
11,41,3.64,4.77,5.24,4.06,3.41,4.89,2.3,2.64,4.23,5.09,3.35,1,1.77,2.05,1.37,3.75,4.73,4.19,3.52,2.96,5.11,4.15,2.51,4.16,4.37,3.36,2.85,4.48,3.43,3.63,1,1,0.94,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Christian","Shinto","Yes, I’ve had an experience like this.","Yes.","Brazil"
12,44.29,4.39,2.55,2.35,2.9,4.88,3.75,3.04,3.52,4.95,3.38,4.86,1,1.47,1.83,1.45,2.5,4.04,4.42,4.24,4.46,4.92,2.99,4.09,5.41,2.77,5.16,4.41,6.28,4.95,4.37,1,1,0.39,"Female","While I have doubts, I feel that I do believe in God","Muslim","Sunni","Yes, I’ve had an experience like this.","Yes.","Brazil"
13,43.02,4.98,6.1,5.73,5.07,4.4,4.34,1.43,2.91,2.3,5.76,4.03,1,1.68,1.75,1.44,4.13,3.7,4.04,5.5,3.05,3.57,4.49,1.87,6.05,4.6,4.57,3.21,4.68,3.18,3.94,1,1,0.66,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Sceptic","Protestant","Yes, I’ve had an experience like this.","Yes.","Brazil"
14,41.28,3.64,3.17,4.53,4.64,3.5,2.02,4.54,2.55,2.76,4.51,2.79,1,1.6,1.3,0.44,5.27,3.53,4.73,4.61,2.86,3.4,5.22,4.94,3.32,5.21,0.66,3.74,5.02,3.97,3.71,3,1,0.9,"Female","I find myself believing in God some of the time, but not at others","Atheist","Protestant","No, I’ve never had an experience like this.","Yes.","Brazil"
15,38.42,3.71,5.96,4.47,3.75,5.29,5.72,1.83,4.67,3.33,5.58,4.12,1,1.5,2.1,0.95,5.12,3.99,3.92,5.89,3.37,3.2,3.28,3.38,4.28,4.68,6.21,5.06,4.6,3.25,4.15,1,1,0.47,"Female","Don't Know","Buddhist","Protestant","Yes, I’ve had an experience like this.","Yes.","Brazil"
16,36.38,6.14,3.22,4.34,5.08,2,4.61,3.87,2.95,3.7,4.65,2.65,1,1.44,0.47,0.56,2.58,3.51,3.54,2.61,3.81,4.79,4.85,0.71,3.76,4.29,4.46,3.92,4.22,5.27,5.98,2,2,0.41,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Rationalist","Daoist","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
17,43.74,3.99,3.42,6.15,4.28,6.48,3.39,2.29,3.65,3.25,6.36,3.85,1,1.35,0.82,1.11,6.21,4.23,3.32,4.79,3.53,2.86,3.87,3.64,4.73,4.33,3.6,3.57,4.7,4.39,4.19,3,2,1.43,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Other","Daoist","No, I’ve never had an experience like this.","No","Brazil"
18,39.39,4.14,4.65,4.25,4.02,4.6,4.23,3.57,2.62,4.46,5.05,2.94,1,0.82,1.08,1.29,4.89,3.21,3.58,4.34,1.99,4.06,0.08,1.76,3.97,4.54,5.99,4.47,6.02,3.8,2.86,2,2,1.33,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Daoist","Shinto","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
19,33.07,3.87,3.86,4.42,3.22,5.15,3.64,3.07,4.04,4.45,4.52,2.74,0,0.59,0.96,1.15,5.21,4.33,3.92,3.09,3.58,4.04,3.77,5.83,4.02,4.51,2.96,3.53,5.21,3.81,3.91,1,2,-0.42,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Shinto","Shinto","Yes, I’ve had an experience like this.","No","Brazil"
20,38.93,6,4.23,4.38,4.2,4.65,4.12,1.67,2.73,4.14,5.36,2.03,1,1.36,1.37,0.5,2.4,4.44,2.12,5.64,2.88,3.86,4.84,4.81,5.47,3.69,3.55,2.62,4.94,5.73,2.44,3,2,0.41,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Daoist","Orthodox","No, I’ve never had an experience like this.","No","Brazil"
21,39.84,4.55,4.25,3.39,3.29,5.4,3.67,2.83,1.82,3.19,3.65,3.63,1,1.24,1.52,1.27,4.11,5.01,5.08,3.73,3.96,5.21,5.99,3.78,5.4,3.38,4.51,3.82,4.51,3.98,3.25,2,2,1.21,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Secular","Jewish","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
22,39.12,3.97,2.15,6.45,4.32,4.56,3.74,3.92,3.26,3.42,5.53,2.17,1,0.78,0.98,0.5,5.68,5,4.04,2.01,3.01,3.67,4.76,3.49,5.46,4.74,5.15,6.15,4.87,3.96,3.8,2,1,1.83,"Female","I find myself believing in God some of the time, but not at others","Hindu","Other","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
23,37.63,4.24,3.11,3.55,2.61,5.14,4.06,2,1.96,2.7,4.56,3.55,1,2.28,1.46,0.47,3.09,2.53,5.02,3.12,4.07,6.28,3.37,5.05,5.14,3.6,4.67,6.95,4.06,3.97,3.86,3,1,1.46,"Male","I don’t believe in God","Hindu","Catholic","No, I’ve never had an experience like this.","Yes.","Brazil"
24,42.46,5.02,1.66,6.33,5.35,5.11,5.11,3.21,3.33,3.29,6.12,1.55,1,0.97,1.83,0.96,4.17,3.01,4.77,4.39,4.82,3.56,4.2,3.79,2.62,3.29,5.13,3.56,4.97,6.09,3.66,3,1,1.61,"Male","While I have doubts, I feel that I do believe in God","Seeker","Sunni","No, I’ve never had an experience like this.","Yes.","Brazil"
25,39.29,3.14,3.53,5.22,3.57,6.32,3.71,2.88,4.31,2.98,4.47,3.03,1,1.14,1.13,1.48,3.58,4.46,4.66,4.94,4.41,3.16,5.74,3.67,3.7,6.19,5.63,4.34,5.64,6.19,6.46,1,1,0.83,"Female","I don’t believe in God","Atheist","Jewish","Yes, I’ve had an experience like this.","Yes.","Brazil"
26,39.55,5.53,3.03,3.63,3.19,5.94,3.79,2.39,2,4.9,4.99,4.19,1,1.82,1.63,2.06,4.16,4.99,3.46,5.06,2.9,4.58,2.99,3.88,3.33,3.57,4.06,4.32,5.59,4.5,5.25,1,2,0.96,"Male","I know God really exists and I have no doubt about it.","Spiritual but not religious","Confucian","Yes, I’ve had an experience like this.","No","Brazil"
27,39.45,4.16,2.65,4.87,3.34,4.47,3.22,3.03,2.76,2.78,4.81,3.47,1,0.97,1.73,1.72,1.46,3.21,3.08,4.1,2.25,2.81,3.7,2.24,6.16,5.59,2.85,5.19,4.16,5.1,4.18,2,1,2.12,"Male","Don't Know","Secular","Orthodox","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
28,49.39,6.15,5.37,3.98,4.66,4.83,4.1,2.23,1.66,4.39,5.5,3.26,1,1.07,1.43,2.03,2.33,3.95,4.28,4.55,4.06,5.87,6.21,1.5,7.11,4.1,2.61,5.04,1.97,2.35,4,2,1,2.19,"Female","Don't Know","Seeker","Shiite","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
29,40.74,3.67,3.53,5.19,4.19,5.29,1.41,3.63,3.72,1.88,5.53,2.86,1,1.27,1.69,0.37,3.87,6.97,1.46,4.45,4.26,5.01,2.94,6.46,4.59,3.62,4.42,4.6,3.38,2.58,2.85,2,1,0.98,"Male","I know God really exists and I have no doubt about it.","Atheist","Protestant","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
30,41.04,5.84,2.97,2.81,3.01,4.97,2.15,1.92,4.56,1.39,4.36,3.44,1,1.82,1.43,0.79,2.55,3.17,4.8,3.43,5.07,5.46,4.5,5.7,4.03,4.13,4.46,4.14,4.4,4.29,4.44,1,2,0.85,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Humanist","Jewish","Yes, I’ve had an experience like this.","No","Brazil"
31,45.18,4.4,4.55,4.37,3.56,4.92,4.74,2.48,3.18,3.24,4.79,2.77,1,1.1,1.77,1.66,4.41,3.33,2.23,5.51,3.72,3.25,2.93,4.3,3.68,2.92,2.82,2.31,2.28,1.74,1.15,3,2,1.4,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Christian","Confucian","No, I’ve never had an experience like this.","No","Brazil"
32,36.83,3.75,2.59,4,3.66,5.68,3.57,4.9,4.14,3.27,4.79,2.74,1,1.52,2.02,0.88,4.73,3.73,4.37,4.14,4.77,2.82,3.24,4.36,2.08,3.17,1.17,4.79,4.02,3.7,3.58,1,2,1.08,"Male","I don’t believe in God","Other","Confucian","Yes, I’ve had an experience like this.","No","Brazil"
33,40.62,2.63,4.19,4.79,3.39,5.45,3.27,1.1,1.87,1.48,5.13,1.53,1,0.15,0.44,1.43,1.65,3.49,3.8,3.17,4.87,2.95,5.69,2.67,2.84,3.65,4.79,3.14,0.87,3.96,4.94,3,1,1.04,"Male","I know God really exists and I have no doubt about it.","Jewish","Daoist","No, I’ve never had an experience like this.","Yes.","Brazil"
34,43.54,5.15,4.31,4.13,4.24,4.58,5.31,2.87,4.23,3.49,6.06,2.74,0,1.18,0.66,1.05,2.57,4.39,2.95,3.6,4.79,2.29,3.78,4,3.32,3.7,3.12,5.36,4.28,4.73,3.6,2,1,0.12,"Male","Don't Know","Secular","Daoist","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
35,39.96,4.06,4.36,6.34,5.26,5.42,2.52,1.87,3.31,1.91,6.71,3.61,1,0.95,1.34,0.48,2.44,4.15,3.71,3.32,4.22,2.93,4.91,3.62,2.98,5.06,4.24,2.96,2.86,4.79,4.08,1,2,1.28,"Female","I find myself believing in God some of the time, but not at others","Hindu","Shinto","Yes, I’ve had an experience like this.","No","Brazil"
36,34.95,3.54,3.54,3.58,2.71,5.63,3.56,3.06,3.09,2.89,4.34,2.21,1,1.08,0.69,1.24,3.02,3.92,3.61,2.79,4.13,3.27,3.42,3.88,4.07,3.01,2.75,5.12,4.13,5.31,1.94,2,2,1.11,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Humanist","Confucian","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
37,42,4.29,3.32,5.55,5.34,5.74,3.52,4.15,3.4,2.27,6.26,2.19,1,1.66,2.18,0.91,4.43,5.54,3.44,3.58,2.88,3.84,3.71,2.76,5.55,5.52,5.32,5.62,2.87,6.92,3.77,1,2,1.24,"Female","I don’t believe in God","Sceptic","Protestant","Yes, I’ve had an experience like this.","No","Brazil"
38,44.06,5.97,0.72,4.03,4.49,3.34,3.24,1.33,2,3.69,5.42,2.42,1,1.35,1.28,1.45,2.11,3.84,2.65,2.54,4.07,2.19,1.93,3.82,3.67,4.51,5.18,4.7,3.47,6.79,3.87,3,2,1.16,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Jewish","Catholic","No, I’ve never had an experience like this.","No","Brazil"
39,37.57,3.61,2.51,4.09,2.98,4.41,3.38,2.67,1.67,3.78,4.41,4.85,1,1.59,1.88,1.06,3.03,4.34,3.99,2.82,3.78,4.19,4.87,5.17,5.12,2.71,2.4,4.52,5.52,4.73,4.35,1,1,1.01,"notSpec","I don’t know whether there is a God, and I don’t believe there is any way to find out","Christian","Buddhist","Yes, I’ve had an experience like this.","Yes.","Brazil"
40,42.81,4.75,5.38,5.25,4.83,5.31,5.2,2.83,2.35,3.61,6.12,2.7,1,1,1.83,1.1,4.91,2.57,3.29,5.04,4.21,5.82,3.46,5.08,4.26,3.54,1.81,4.72,3.16,3.56,2.43,1,1,1.21,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Daoist","Orthodox","Yes, I’ve had an experience like this.","Yes.","Brazil"
41,40.63,3.36,3.77,4.27,3.15,4.58,3.57,3.35,3,2.87,4.48,3.01,1,1.35,0.9,1.75,4.2,5.49,4.36,4.18,1.23,3.29,4.83,5.51,3.87,4.19,1.82,4.59,3.96,4.03,2.76,1,1,1.46,"Male","While I have doubts, I feel that I do believe in God","Daoist","Sunni","Yes, I’ve had an experience like this.","Yes.","Brazil"
42,40.39,4.41,3.51,5.73,4.42,3.06,3.12,4.13,1.72,2.47,5.52,2.43,1,-0.39,0.58,1.21,2.86,6.15,3.13,3.79,2.74,4.3,4.3,3.64,2.94,4.74,3.22,3.58,4.08,4.03,4.74,2,2,1.6,"Female","Don't Know","Daoist","Orthodox","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
43,36.37,4.55,2.5,4.96,4.66,5.28,4.29,1.75,3.72,0.88,5.15,3.76,1,1.45,1.85,1.35,5.05,4.15,3.64,4.48,6.24,4.02,3.75,4.6,6.79,3.52,5.55,2.12,3.79,4.83,6.33,1,1,0.17,"Male","While I have doubts, I feel that I do believe in God","Jewish","Confucian","Yes, I’ve had an experience like this.","Yes.","Brazil"
44,33.93,3.89,3.21,4.94,3.61,4.62,2.58,1.13,3.01,4.54,5.77,3.02,1,1.38,1.73,1.43,6.25,4.47,4.45,5.15,3.97,3.34,2.77,3.36,3.24,3.27,3.29,4.17,3.49,4.36,2.61,1,2,1.46,"Male","I don’t believe in God","Muslim","Protestant","Yes, I’ve had an experience like this.","No","Brazil"
45,39.13,3.25,4.27,3.37,1.41,3.66,4.1,1.85,4.65,2.01,4.1,1.55,1,1.33,1.96,0.85,6.26,2.79,4.06,3.09,4.74,3.36,4.34,4.41,2.96,5.96,3.64,5.2,5.69,4.52,3.65,3,2,1.02,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Muslim","Catholic","No, I’ve never had an experience like this.","No","Brazil"
46,37.62,3.12,2.21,3.09,2.56,4.39,2.71,2.82,2.79,2.91,2.83,3.6,1,1.35,1.92,1.08,3.03,3.67,4.85,4.87,3.96,4.71,3.99,3.86,5.55,2.44,2.63,4.88,3.18,4.54,2.95,3,1,2.12,"Male","I don’t believe in God","Jewish","Jewish","No, I’ve never had an experience like this.","Yes.","Brazil"
47,35.63,5.69,1.96,4.17,4.14,5.76,2.69,3.28,2.68,4,5.04,1.53,1,1.37,1.25,1.1,1.83,3.85,5.13,2.07,3.84,4.46,2.98,4.81,3.19,5.21,4.23,2.98,5.91,4.76,3.81,2,1,1.46,"notSpec","I know God really exists and I have no doubt about it.","Rationalist","Protestant","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
48,44.86,4.73,3.62,4.45,3.9,8.01,3.44,3.19,1.99,3.38,4.13,2.37,1,1.05,1.74,0.24,3.14,3.99,5.28,4.2,4.03,3.87,4.71,4.37,3.19,3.97,5.18,5.79,4.04,2.91,2.36,1,2,1.33,"Female","I don’t believe in God","Buddhist","Orthodox","Yes, I’ve had an experience like this.","No","Brazil"
49,40.3,5.14,1.79,3.31,3.65,5.46,2.58,3.22,4.36,0.93,4.58,4.79,1,1.08,1.98,1.39,2.4,3.77,4.68,1.86,3.25,4.12,3.17,2.15,5.45,4.11,1.53,4.08,4.93,4.69,6.95,3,1,0.61,"Female","I know God really exists and I have no doubt about it.","Muslim","Other","No, I’ve never had an experience like this.","Yes.","Brazil"
50,41.3,4.39,3.8,4.11,4.08,3.61,3.78,4.39,4.91,3.35,4.07,2.92,1,2.37,1.37,1.07,4.11,4.27,3.69,4.17,3.24,3.39,4.06,3.78,5.42,3.19,6.25,4.26,4.59,5.09,3.27,1,1,2.23,"Male","While I have doubts, I feel that I do believe in God","Atheist","Jewish","Yes, I’ve had an experience like this.","Yes.","Brazil"
51,42.22,4.86,3.14,4.41,4.25,5.64,2.18,1.47,3.45,3.05,4.48,3.72,1,2.31,2.24,0.24,4.75,3.81,2.7,4.5,5.63,2.78,4.99,6.3,3.63,4.65,3.41,3.53,4.32,5.08,4.49,2,1,0.85,"Female","I don’t believe in God","Secular","Shinto","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
52,38.93,5.51,2.93,3.61,3.57,5.62,3.33,4.53,3.7,3.51,3.95,1.86,1,0.85,0.72,0.99,3.58,5.17,2.46,4.5,2.56,4.8,4.41,2.93,4,4.1,3.58,4.29,4.08,4.09,4.46,3,1,1.96,"Male","Don't Know","Non-religious","Hindu","No, I’ve never had an experience like this.","Yes.","Brazil"
53,38.2,4.73,4.31,3.83,3.47,5.14,2.89,4.56,2.08,1.54,4.32,3.14,1,1.85,1.84,1.54,4.29,3.12,4.13,3.96,4.35,2.76,5.14,4.64,4.08,4.31,5.21,3.57,3.86,4.83,2.81,3,2,0.76,"notSpec","I know God really exists and I have no doubt about it.","Daoist","Catholic","No, I’ve never had an experience like this.","No","Brazil"
54,39.49,5.64,1.08,3.59,4.91,6.47,4.77,4.63,2.17,1.72,4.13,1.46,1,1.14,1.07,0.77,3.67,3.64,4.33,3.43,4.66,3.08,4.34,4.31,4.07,5.23,2.35,4.91,3.54,6.79,2.43,1,1,0.96,"Male","I know God really exists and I have no doubt about it.","Secular","Protestant","Yes, I’ve had an experience like this.","Yes.","Brazil"
55,45.23,5.11,4.13,4.72,4.35,4.69,3.2,3.93,4.03,1.74,5.11,4.39,1,1.98,1.92,1.8,3.14,2.93,4.16,3.75,4.17,5.59,2.06,4.11,1.37,6.15,4.35,4.2,3.89,3.39,2.48,1,2,0.9,"Male","While I have doubts, I feel that I do believe in God","Muslim","Confucian","Yes, I’ve had an experience like this.","No","Brazil"
56,41.02,5.17,2.58,3.29,3.66,4.52,4.7,2.61,2.74,3.63,5.06,3.58,1,1.48,1.39,0.26,4.1,4.56,4.11,4.81,3.95,3.35,4.37,4.31,5.34,3.07,4.22,4.79,3.97,4.42,3.35,1,1,1.66,"Male","I know God really exists and I have no doubt about it.","Confucian","Shinto","Yes, I’ve had an experience like this.","Yes.","Brazil"
57,42.24,5.11,4.26,5.43,5.05,5.53,4.2,3.37,1.64,2.72,5.81,3.04,1,1.17,1.81,1.41,3.51,2.79,4.08,3.25,5.06,3.52,3.35,3.08,3.08,2.79,4.65,3.85,5.2,3.9,4.58,2,1,1.3,"Male","Don't Know","Jewish","Jewish","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
58,41.62,3.03,3.69,4.87,4.59,4.85,3.58,2.5,3.39,4.76,5.69,3.85,0,0.27,0.96,0.52,3.53,4.29,4.42,3.86,2.3,4.19,3.79,2.96,4.57,3.38,2.77,5.66,5.66,3.48,4.99,1,2,0.54,"Male","I know God really exists and I have no doubt about it.","Seeker","Daoist","Yes, I’ve had an experience like this.","No","Brazil"
59,40.79,5.91,2.72,2.48,4,2.58,3.3,3.54,2.14,4.58,4.16,3.18,1,1.52,0.77,1.2,3.56,4.5,4.54,6.29,6.41,3.72,4.53,3.27,3.45,4.96,2.73,4.52,4.04,2.62,5.14,2,1,1.37,"Female","I don’t believe in God","Christian","Protestant","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
60,36.69,4.9,4.61,4.17,3.7,5.35,3.95,3.61,0.74,4.17,4.81,2.61,1,1.53,0.7,1.49,2.38,5.2,2.79,6.12,3.58,4.21,4.74,4.54,3.74,5.07,4.72,2.9,4.13,5.59,4.23,2,2,0.44,"Male","I know God really exists and I have no doubt about it.","Humanist","Daoist","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
61,38.56,3.93,4.28,6.24,4.39,4.63,4.87,2.58,1.95,1.63,6.22,1.82,1,2.16,1.5,2.14,3.57,5,5.25,1.77,4.45,3.83,4.32,2.21,4.91,4.04,3.72,4.94,3.36,1.55,2.68,3,2,1.99,"Male","I don’t believe in God","Non-religious","Shinto","No, I’ve never had an experience like this.","No","Brazil"
62,40.06,6.1,3.23,5.69,5.42,5.29,3.75,4.05,2.98,3.78,6.18,2.35,1,2.1,1.79,1.03,5.22,3.99,4.64,4.03,0.64,4.56,5.19,3.25,0.42,2.74,3.25,4.89,3.71,4.38,4.1,2,2,1.23,"Female","I don’t believe in God","Hindu","Orthodox","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
63,38.99,5.58,2.25,4.71,4.62,4.9,3.26,3.66,2.99,4.35,4.7,0.9,1,1.53,2.03,1.23,2.64,4.06,4.39,5.52,3.44,1.59,3.38,4.3,5.06,5.46,4.96,3.28,4.65,4.72,2.45,3,2,1.33,"Male","While I have doubts, I feel that I do believe in God","Muslim","Shinto","No, I’ve never had an experience like this.","No","Brazil"
64,38.26,4.88,2.83,6.32,4.95,6.07,3.83,2.86,3.52,2.42,6.25,2.37,1,1.96,1.46,1.72,5.88,3.82,3.48,4.84,3.7,3.06,5.55,4.08,4.27,4.3,2.91,4.58,3.24,5.22,2.67,2,1,1.52,"Female","I know God really exists and I have no doubt about it.","Christian","Catholic","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
65,44.64,5.33,3.75,3.07,4.31,5.45,4.82,3.18,3.28,2.8,4.44,3.9,1,0.43,1.19,0.42,3.58,4.34,3.1,4.35,3.28,3.22,6,4.1,3.92,4.99,5.48,3.86,1.93,4.54,4.16,2,1,1.16,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Christian","Protestant","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
66,39.09,6.71,0.52,3.91,5.51,4.02,4.3,2,2.56,4.99,5.48,6.27,1,0.98,0.52,1.19,5.5,5.83,4,3.1,3.47,2.78,5.48,3.75,4.5,4.73,3.86,3.62,4.03,3.25,4.04,3,1,0.68,"Male","While I have doubts, I feel that I do believe in God","Seeker","Buddhist","No, I’ve never had an experience like this.","Yes.","Brazil"
67,41.34,5.01,4.2,4.68,4.76,6.58,4.13,3.01,1.71,3.81,5.02,3.23,1,1.27,1.01,0.84,4.31,3.5,4,3.75,5.25,5.03,2.84,5.84,4.11,2.13,3.42,4.58,4.63,4.41,5.49,3,1,1.69,"Male","I know God really exists and I have no doubt about it.","Humanist","Buddhist","No, I’ve never had an experience like this.","Yes.","Brazil"
68,39.78,4.69,3.84,5.08,3.62,3,3.73,3.57,3,3.25,6.59,3.27,1,0.55,2.11,1.04,4.51,3.86,4.32,3.96,3.04,3.82,4.13,2.93,2.4,3.44,5.28,3.8,4.14,3.62,4.97,1,2,0.5,"Female","Don't Know","Agnostic","Catholic","Yes, I’ve had an experience like this.","No","Brazil"
69,34.43,6.51,0.75,5.25,5.45,4.92,3.6,2.84,1.8,3.59,5.87,3.66,1,0.8,1.55,1.65,3.2,4.45,3.05,4.06,4.29,4.91,5.93,3.39,3.48,3.43,4.72,4.38,4.33,2.73,3.01,3,1,1.65,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Other","Jewish","No, I’ve never had an experience like this.","Yes.","Brazil"
70,32.02,3.81,3.85,6.4,4.2,3.31,5.46,0.85,2.69,2.94,5.56,2.79,1,1.4,1.92,1.55,2.9,3.31,4.75,4.34,4.7,5.37,3.3,4.22,5.48,4.29,2.45,5.81,2.95,2.7,4.82,2,1,1.31,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Buddhist","Shiite","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
